user_id,assessment_id,score,date_taken,manager
10,1,3,12/3/2022,1
14,5,3,12/10/2022,1
13,5,1,12/11/2022,1
8,12,3,12/23/2022,1
15,13,1,12/10/2022,1
15,4,4,12/7/2022,1
15,13,3,12/7/2022,1
10,12,1,12/18/2022,1
5,2,2,12/15/2022,1
10,14,1,12/29/2022,1
2,8,3,12/5/2022,1
11,2,1,12/3/2022,1
13,13,2,12/18/2022,1
3,5,4,12/29/2022,1
11,2,2,12/7/2022,1
15,8,3,12/5/2022,1
2,14,2,12/19/2022,1
15,2,1,12/29/2022,1
7,6,2,12/21/2022,1
4,11,3,12/26/2022,1
13,14,2,12/15/2022,1
1,11,2,12/23/2022,1
12,11,4,12/25/2022,1
15,6,4,12/26/2022,1
10,2,2,12/4/2022,1
15,6,3,12/11/2022,1
11,11,3,12/10/2022,1
2,11,1,12/2/2022,1
4,2,3,12/15/2022,1
3,1,4,12/7/2022,1
11,8,1,12/11/2022,1
14,13,1,12/29/2022,1
10,2,2,12/6/2022,1
15,14,2,12/22/2022,1
7,4,3,12/24/2022,1
6,5,4,12/4/2022,1
6,8,4,12/26/2022,1
5,12,3,12/28/2022,1
1,13,1,12/11/2022,1
5,15,3,12/19/2022,1
6,4,1,12/1/2022,1
1,13,3,12/13/2022,1
5,10,1,12/3/2022,1
9,14,4,12/23/2022,1
10,9,3,12/27/2022,1
5,14,3,12/9/2022,1
2,16,4,12/22/2022,1
16,16,1,12/25/2022,1
6,8,2,12/8/2022,1
1,8,3,12/27/2022,1
10,4,1,12/18/2022,1
14,8,2,12/12/2022,1
7,2,4,12/14/2022,1
12,10,3,12/19/2022,1
10,14,2,12/13/2022,1
8,3,4,12/23/2022,1
9,15,2,12/30/2022,1
11,10,3,12/1/2022,1
9,16,2,12/8/2022,1
14,10,1,12/30/2022,1
8,4,2,12/26/2022,1
2,2,1,12/24/2022,1
15,2,4,12/27/2022,1
10,14,2,12/22/2022,1
13,4,4,12/5/2022,1
1,16,4,12/12/2022,1
7,6,2,12/2/2022,1
11,14,1,12/16/2022,1
7,13,3,12/12/2022,1
13,1,4,12/19/2022,1
14,7,3,12/10/2022,1
7,16,1,12/20/2022,1
14,12,3,12/26/2022,1
15,11,1,12/26/2022,1
3,12,3,12/28/2022,1
3,15,4,12/17/2022,1
11,12,2,12/19/2022,1
5,5,3,12/1/2022,1
15,16,1,12/24/2022,1
11,7,4,12/2/2022,1
8,5,3,12/15/2022,1
4,11,4,12/20/2022,1
5,13,2,12/8/2022,1
4,1,4,12/4/2022,1
2,12,2,12/16/2022,1
16,14,4,12/10/2022,1
1,7,2,12/15/2022,1
8,10,3,12/29/2022,1
3,2,3,12/14/2022,1
16,8,4,12/10/2022,1
1,9,4,12/1/2022,1
1,3,1,12/7/2022,1
10,12,4,12/8/2022,1
6,10,3,12/4/2022,1
13,7,1,12/25/2022,1
3,3,3,12/3/2022,1
16,3,4,12/15/2022,1
6,10,4,12/25/2022,1
4,12,3,12/12/2022,1
12,10,3,12/29/2022,1
8,6,4,12/27/2022,1
16,5,1,12/27/2022,1
8,12,4,12/10/2022,1
4,2,3,12/21/2022,1
16,1,1,12/21/2022,1
14,13,3,12/25/2022,1
5,3,3,12/1/2022,1
7,1,4,12/28/2022,1
2,12,3,12/7/2022,1
10,7,2,12/13/2022,1
4,6,4,12/10/2022,1
5,3,3,12/14/2022,1
13,14,1,12/16/2022,1
12,11,3,12/30/2022,1
10,15,3,12/8/2022,1
14,9,4,12/8/2022,1
7,2,4,12/22/2022,1
9,6,1,12/18/2022,1
12,15,4,12/12/2022,1
11,11,3,12/14/2022,1
9,3,3,12/27/2022,1
3,14,4,12/15/2022,1
6,4,2,12/19/2022,1
8,6,4,12/16/2022,1
12,14,1,12/13/2022,1
3,10,1,12/30/2022,1
11,6,1,12/7/2022,1
1,15,3,12/4/2022,1
1,2,3,12/11/2022,1
1,10,1,12/16/2022,1
6,4,2,12/2/2022,1
9,1,1,12/17/2022,1
1,1,2,12/20/2022,1
7,5,3,12/20/2022,1
3,16,3,12/1/2022,1
3,10,4,12/2/2022,1
12,12,4,12/30/2022,1
15,1,4,12/1/2022,1
6,4,1,12/3/2022,1
16,3,2,12/4/2022,1
15,9,2,12/5/2022,1
10,16,3,12/25/2022,1
16,3,1,12/18/2022,1
2,3,2,12/2/2022,1
7,12,1,12/17/2022,1
15,6,2,12/16/2022,1
13,5,1,12/13/2022,1
1,9,3,12/11/2022,1
2,10,1,12/9/2022,1
5,16,3,12/9/2022,1
